gene_id,PC1,PC2,gene_name,gene_biotype,species,gene_type
gene-MBOAT7-3,-0.051430287666486225,0.014890961693078585,MBOAT7,NA,human,human
gene-HLA-DPB1-4,-0.06019845504582153,0.07688267496503788,HLA-DPB1,NA,human,human
gene-CDC27P10-2,0.061274508511082494,0.06981396957329349,CDC27P10,NA,human,human
gene-FRG1-3,-0.06418757114187154,0.0048283213186939905,FRG1,NA,human,human
gene-CLIC1-7,-0.06883221889019879,0.03939438723177745,CLIC1,NA,human,human
gene-PSMB8-2,-0.08141636828368745,0.03302278347878948,PSMB8,NA,human,human
gene-RPS9-5,-0.08087585897392134,0.003881642084348547,RPS9,NA,human,human
gene-PSMB8-3,-0.056054065470570354,0.07413960824593616,PSMB8,NA,human,human
gene-CSNK2B-4,-0.041104021535892044,0.09531490271473267,CSNK2B,NA,human,human
gene-STIL,0.08436580632047666,0.04975815000370389,STIL,NA,human,human
gene-SCARNA7,0.05723994839464151,0.08827841241504032,SCARNA7,NA,human,human
gene-HBG1,-0.018631211405506973,-0.07054778015798037,HBG1,NA,human,human_globin
gene-FLOT1-2,-0.02676961485253748,0.022852010461915928,FLOT1,NA,human,human
gene-BDP1-4,0.06968314253460108,0.05070730303465732,BDP1,NA,human,human
gene-AIF1-3,-0.06534101620244176,0.05205881455170785,AIF1,NA,human,human
gene-FLOT1-7,-0.06791565830518222,0.04007744963590372,FLOT1,NA,human,human
gene-GPSM3-4,-0.06548488293798797,0.08035148895263061,GPSM3,NA,human,human
gene-TBC1D9B-2,-0.026184736952313,-0.029174517485163105,TBC1D9B,NA,human,human
gene-HLA-DMB-5,-0.06699027610797594,0.07349037784668118,HLA-DMB,NA,human,human
gene-CLIC1,-0.06929297028199459,0.0013005093254996412,CLIC1,NA,human,human
gene-PKNH_0321100,0.0874578784697492,0.042097731481342666,gene-PKNH_0321100,rRNA,pk,pk_rRNA
gene-AGPAT1-5,0.023063055016813896,0.012673975343814337,AGPAT1,NA,human,human
gene-GGNBP2,0.0029607277092735707,0.05211427760197421,GGNBP2,NA,human,human
gene-PKNH_1001000,0.08785866526693134,0.03964328794996848,gene-PKNH_1001000,rRNA,pk,pk_rRNA
gene-LTB-4,-0.06699331937925834,0.049100548661807825,LTB,NA,human,human
gene-PSMB8,-0.03635588180167368,0.038261875180916755,PSMB8,NA,human,human
gene-GRIPAP1,-0.03628101782591017,0.0432728018628853,GRIPAP1,NA,human,human
gene-C4B-3,0.0026677359922030607,-0.05640906006017121,C4B,NA,human,human
gene-TAP1-3,-0.0675248312914813,0.017217858464991805,TAP1,NA,human,human
gene-PKNH_1339500,0.06385773653111293,0.0031078140777541304,gene-PKNH_1339500,rRNA,pk,pk_rRNA
gene-LTB-8,-0.057838774442931874,0.006733332245816067,LTB,NA,human,human
gene-SCARNA10,0.04704078434170572,0.08782119059971757,SCARNA10,NA,human,human
gene-MBOAT7-10,-0.021274441434773063,0.020295016924874478,MBOAT7,NA,human,human
gene-AGPAT1-6,-0.023699420271928482,-0.05635700334506182,AGPAT1,NA,human,human
gene-LTB-2,-0.05719550769551227,0.013864652577396018,LTB,NA,human,human
gene-TRIM26-2,-0.005152551787399459,0.043758398537198075,TRIM26,NA,human,human
gene-RAD17,0.009001094980724274,0.04822600331816871,RAD17,NA,human,human
gene-RING1,-0.04340763594830404,-0.011286878231343677,RING1,NA,human,human
gene-RPS9-6,-0.07480924368460758,-0.03149578794002687,RPS9,NA,human,human
gene-ATF6B,-0.06431008260965206,-0.0011317631882481016,ATF6B,NA,human,human
gene-TCF20-3,0.043956377474836925,0.03935979687697326,TCF20,NA,human,human
gene-LILRA5-3,-0.04327420386709471,0.04026841404882303,LILRA5,NA,human,human
gene-SLC39A7-5,-0.03395544496571099,0.011526478499248344,SLC39A7,NA,human,human
gene-SLX1A,-0.016661914381449944,0.031030538181680237,SLX1A,NA,human,human
gene-TAP1-7,-0.06407039160631013,0.03817608694248624,TAP1,NA,human,human
gene-OSCAR-2,-0.018027239437615954,0.05579137707556754,OSCAR,NA,human,human
gene-HLA-DRB3-3,-0.05441737254337528,0.06315828618148397,HLA-DRB3,NA,human,human
gene-H4C6,0.07171094463875659,0.07640932372162305,H4C6,NA,human,human
gene-FLOT1-8,-0.03693297355483887,-0.028542566735116407,FLOT1,NA,human,human
gene-PPP1R11-2,-0.06695784484098835,0.012917738530592833,PPP1R11,NA,human,human
gene-NEU1-7,-0.020591642735562864,0.020049940373338553,NEU1,NA,human,human
gene-RNA28SN3,-0.05791640815191463,-0.07264285694460768,RNA28SN3,NA,human,human_rRNA
gene-TSEN34-9,0.0016824209314237316,-0.07015235684688723,TSEN34,NA,human,human
gene-RNA28SN3-2,-0.05742139302200463,-0.07268159610194085,RNA28SN3,NA,human,human_rRNA
gene-HLA-DMA-5,-0.049469534235190724,0.02963454360139521,HLA-DMA,NA,human,human
gene-TAP1-5,-0.045977367335361605,0.04886589712670822,TAP1,NA,human,human
gene-HLA-DPA1-8,-0.02415305045484115,0.05553569461909751,HLA-DPA1,NA,human,human
gene-PSMB8-8,-0.026013674580068553,0.026831407030346626,PSMB8,NA,human,human
gene-RGL2-4,-0.003754706296002005,-0.011447226964651998,RGL2,NA,human,human
gene-HLA-DRB1-3,-0.04814168375594659,0.00960858022810052,HLA-DRB1,NA,human,human
gene-MCTS1-2,-0.010182795429405865,0.008351578895818185,MCTS1,NA,human,human
gene-XYLT1,-0.020847658835552937,0.003705447845926899,XYLT1,NA,human,human
gene-DDX39B,-0.009034513033407462,0.0553047165910923,DDX39B,NA,human,human
gene-NELFE-6,0.030287130536076047,0.06214659286654168,NELFE,NA,human,human
gene-CSNK2B-3,-0.05243864363066518,-0.018819349809352195,CSNK2B,NA,human,human
gene-LY6G5B,-0.0030020185348146964,-0.005885074955896413,LY6G5B,NA,human,human
gene-POLE2,0.07253484629196157,0.061187659830220266,POLE2,NA,human,human
gene-IRF7,-0.03183047317482092,-0.005575210804667108,IRF7,NA,human,human
gene-PSMB9-2,-0.04850256828337802,0.0592749501894676,PSMB9,NA,human,human
gene-HLA-DPA1-2,-0.04728180027143822,0.024698488391357083,HLA-DPA1,NA,human,human
gene-MBOAT7-9,0.05444180496161636,0.025609834551014343,MBOAT7,NA,human,human
gene-GPKOW,-0.009999292730642335,-0.05249389103499925,GPKOW,NA,human,human
gene-LILRA3-3,-0.01014531903735643,0.020136723603991977,LILRA3,NA,human,human
gene-TUBB-5,-0.01592140023455516,-0.041014177465984014,TUBB,NA,human,human
gene-NBPF26-2,0.008898436516552734,-0.04291480179055236,NBPF26,NA,human,human
gene-GPSM3-7,-0.07291963422542926,-0.003762817153086359,GPSM3,NA,human,human
gene-SKIC2-4,-0.060036732169680265,0.021200098520448886,SKIC2,NA,human,human
gene-RNF5-7,0.02133294217511649,-0.025317485025792858,RNF5,NA,human,human
gene-ATMIN,-0.012608300124034067,0.03682441814963167,ATMIN,NA,human,human
gene-YTHDC1,-0.054976953280810995,0.05436111240796563,YTHDC1,NA,human,human
gene-PSMB9-8,-0.057867805410351025,0.02669234186259045,PSMB9,NA,human,human
gene-COX5B,-0.05007049971769192,0.040183752651191444,COX5B,NA,human,human
gene-GTF2H1,0.007201003742943188,0.06364819085729029,GTF2H1,NA,human,human
gene-TRIM39-3,-0.04620534149923989,0.0034386661681155713,TRIM39,NA,human,human
gene-AIF1-4,-0.05123124922947809,0.0758912510090763,AIF1,NA,human,human
gene-AIF1-5,-0.06486413178349502,0.059540343631351016,AIF1,NA,human,human
gene-CSNK2B,0.022604746824865553,0.004217978206915211,CSNK2B,NA,human,human
gene-CTSO,-0.022641269736872537,-0.05126630932000831,CTSO,NA,human,human
gene-LST1-3,-0.01862138305494366,0.024013260642675373,LST1,NA,human,human
gene-LTB,-0.05221830887529322,-0.02024804339097726,LTB,NA,human,human
gene-PSMB8-AS1-8,-0.003163383154673962,-0.017516576094703817,PSMB8-AS1,NA,human,human
gene-HCP5-4,-0.0559482728233765,0.027024672258907555,HCP5,NA,human,human
gene-DHX16-8,-0.023204190753800185,0.046454567311075244,DHX16,NA,human,human
gene-LOC131675794,-0.03363185243141972,0.019056063033139777,LOC131675794,NA,human,human
gene-LOC131768270,-0.03788802824732166,-0.05481940423637964,LOC131768270,NA,human,human
gene-NDUFA3-9,-0.013755919366803065,-0.03523393675553203,NDUFA3,NA,human,human
gene-TUBB,0.01385018739188215,0.04611720719436039,TUBB,NA,human,human
gene-PSMB8-5,-0.07002108705305511,0.020229777679542895,PSMB8,NA,human,human
gene-OSCAR-3,-0.04738215819827186,0.0179012667727768,OSCAR,NA,human,human
gene-DDX39B-2,-0.05458695741008281,0.04074124685843398,DDX39B,NA,human,human
gene-TAF9,-0.013735417041938354,0.024746642609413994,TAF9,NA,human,human
gene-CLN8-AS1,0.04757749996996924,-0.07051024392052167,CLN8-AS1,NA,human,human
gene-LST1-7,-0.043385239027816484,0.06741720701113378,LST1,NA,human,human
gene-CSNK2B-2,-0.026263926738067746,-0.006678910940216563,CSNK2B,NA,human,human
gene-H4C5,0.07176281452078426,0.06443426184666014,H4C5,NA,human,human
gene-ABR-3,-0.019461496061949,0.04170786782947756,ABR,NA,human,human
gene-LILRA5,-0.037304048957660305,0.03917540651288939,LILRA5,NA,human,human
gene-IL27RA,-0.04733720274582647,0.05490067773880872,IL27RA,NA,human,human
gene-AGPAT5-2,-0.029570514425892938,0.03965364356694487,AGPAT5,NA,human,human
gene-FRG1,0.011185745647937336,0.06441867873674016,FRG1,NA,human,human
gene-IER3-6,-0.012494638412942089,0.026934463722609707,IER3,NA,human,human
gene-PPP1R10-6,0.018512925405007714,0.011061174709219383,PPP1R10,NA,human,human
gene-HLA-DPB1,-0.05246770648151532,0.06500075697574796,HLA-DPB1,NA,human,human
gene-HLA-DPA1-3,-0.07145430166876912,0.00878524962701947,HLA-DPA1,NA,human,human
gene-LILRA3,-0.06275420923188965,0.038427664201525574,LILRA3,NA,human,human
gene-LILRA1,-0.008091173030853672,0.00955095788988593,LILRA1,NA,human,human
gene-HCG11-2,-0.0575013391412816,0.010183790840757132,HCG11,NA,human,human
gene-HBB,-0.021014045728002625,-0.06143860909055642,HBB,NA,human,human_globin
gene-B3GALT4,-0.062140125845397506,0.02835007203949628,B3GALT4,NA,human,human
gene-PKNH_1339200,0.08212042481708372,0.04465400638657484,gene-PKNH_1339200,ncRNA,pk,pk
gene-PKNH_1001100,0.08184872860976512,0.020945027858056978,gene-PKNH_1001100,rRNA,pk,pk_rRNA
gene-TUBB-8,-0.045611964365271665,0.028219714821842087,TUBB,NA,human,human
gene-LST1-5,-0.047581170685648294,0.038023843688562944,LST1,NA,human,human
gene-TAP2-2,-0.057227408272237164,-6.134169310690095e-4,TAP2,NA,human,human
gene-LILRA3-4,-0.039071556718990805,-0.03621215461562149,LILRA3,NA,human,human
gene-PKNH_1022700,0.07914546306234345,0.049109646399355035,gene-PKNH_1022700,snoRNA,pk,pk
gene-DNAJA3-2,0.00278709585560923,0.03655184375811204,DNAJA3,NA,human,human
gene-PSMB8-7,-0.060695638103188065,0.0028633006631031406,PSMB8,NA,human,human
gene-TRIM26-4,-0.031765082406165414,-0.0289460337327312,TRIM26,NA,human,human
gene-KEL,0.010132382386996097,-0.024640235814921835,KEL,NA,human,human
gene-TERC,0.0741794611246542,0.05945326447856978,TERC,NA,human,human
gene-DHX16-3,-0.031129229676561933,0.04249556072259843,DHX16,NA,human,human
gene-RANBP17,0.07771709381372209,0.043984192607893526,RANBP17,NA,human,human
gene-PSMB8-AS1-6,-0.02536796848151882,0.06038731596389041,PSMB8-AS1,NA,human,human
gene-PlknoMp1,0.07982260340241619,0.04121792292152487,cox3,protein_coding,pk,pk
gene-HLA-DMA-7,0.003979554094471644,-0.009588852807650868,HLA-DMA,NA,human,human
gene-PKNH_1001200,0.08045294699880376,0.03189257355115422,gene-PKNH_1001200,rRNA,pk,pk_rRNA
gene-RPS9-10,-0.003852750971173564,-0.030466584851268956,RPS9,NA,human,human
gene-BDP1-2,0.017610456956717202,0.0022087565683841055,BDP1,NA,human,human
gene-LTB4R,-0.04273415209036901,0.046709914891374965,LTB4R,NA,human,human
gene-TAF9-3,0.011361865494244342,0.01837182267396943,TAF9,NA,human,human
gene-TRIM27,0.02211404587591879,0.00863152268192308,TRIM27,NA,human,human
gene-DUSP11,-0.04393470495651907,0.04581895548690113,DUSP11,NA,human,human
gene-GSDMD,-0.06614093162732962,0.031797979910651614,GSDMD,NA,human,human
gene-PSMB8-AS1-4,-0.00918685826660111,0.044552744690175825,PSMB8-AS1,NA,human,human
gene-TRIM39-7,-0.002448643132637717,-5.643480585804477e-4,TRIM39,NA,human,human
gene-MIR23AHG-2,-0.04048362590729627,0.06206019427008196,MIR23AHG,NA,human,human
gene-HLA-DMB-7,-0.05887779388511841,0.03019472658010046,HLA-DMB,NA,human,human
gene-RNY1,0.06159942133340548,0.03100639212762669,RNY1,NA,human,human
gene-B3GALT4-3,-0.005317103031868229,0.02333681687808356,B3GALT4,NA,human,human
gene-CD300A-2,-0.0434343802699591,0.07957087181036351,CD300A,NA,human,human
gene-PPP1R11-6,0.03968745702027227,0.016107773888627563,PPP1R11,NA,human,human
gene-GNL1-6,-0.011999715580243361,0.055193201486360276,GNL1,NA,human,human
gene-PPP1R10-7,0.058631288328234686,0.04206143331127348,PPP1R10,NA,human,human
gene-DDT,-0.021397869339822257,0.016837849591720782,DDT,NA,human,human
gene-SLC39A7,-0.020565130396832422,0.0034861820240446014,SLC39A7,NA,human,human
gene-PKNH_1339400,0.05384115259495507,0.034534169001171115,gene-PKNH_1339400,rRNA,pk,pk_rRNA
gene-LILRA2-2,-0.05594691741152184,0.033653622544825186,LILRA2,NA,human,human
gene-MRPL23,-0.01680866765773474,0.056858001743960225,MRPL23,NA,human,human
gene-MAML1,0.020467880661564686,-0.054388260110077115,MAML1,NA,human,human
gene-I6V24_pgp09,0.07651568673867229,0.04625028856594721,gene-I6V24_pgp09,protein_coding,pk,pk
gene-PYURF,-0.05099811262402341,0.05264341546608559,PYURF,NA,human,human
gene-RING1-4,0.024709006949151978,0.0459840932159965,RING1,NA,human,human
gene-USP16-2,-0.0394536203982748,0.027311176516696074,USP16,NA,human,human
gene-NDUFS1,-0.03644337821116859,0.005414912725328559,NDUFS1,NA,human,human
gene-PPP1R10,-0.006409135238152615,0.06551211296092593,PPP1R10,NA,human,human
gene-HLA-C-6,0.004559950780942186,-0.02261309418847811,HLA-C,NA,human,human
gene-GABBR1-3,0.002687576383880104,0.03669741660026966,GABBR1,NA,human,human
gene-VARS1-7,-0.030215414234004437,-0.03451568786470536,VARS1,NA,human,human
gene-INTS3,-0.033363308582088934,0.05313090323234343,INTS3,NA,human,human
gene-CCT8-2,-0.06153752825879644,0.021310661238192138,CCT8,NA,human,human
gene-TNF,-0.03273137708471382,0.01845234478294878,TNF,NA,human,human
gene-IRF9-2,-0.05133331031552421,0.05577665003799703,IRF9,NA,human,human
gene-SLC44A4-2,0.06711910579453624,0.01669703583104459,SLC44A4,NA,human,human
gene-VAMP7-2,0.021317933099924437,0.027599748006529687,VAMP7,NA,human,human
gene-RPS9-7,-0.0616948990616318,-0.01356110732029552,RPS9,NA,human,human
gene-CCL3L3-3,-0.024738086593083988,0.019284370711865926,CCL3L3,NA,human,human
gene-HBA1,-0.023617073677939127,-0.06745142446138407,HBA1,NA,human,human_globin
gene-FCAR-4,-0.029504654741937513,0.0496385937957427,FCAR,NA,human,human
gene-SMDT1-2,-0.013655304933173146,0.027811985487962737,SMDT1,NA,human,human
gene-HBA2,-0.027646033706220038,-0.06736706424698921,HBA2,NA,human,human_globin
gene-SEPTIN6-2,0.03052991480344365,-0.01535586492657319,SEPTIN6,NA,human,human
gene-LOC124904586,-0.05327144540570094,0.05603432491523283,LOC124904586,NA,human,human
gene-PSMB9-6,-0.060111302433324125,0.008141117346169425,PSMB9,NA,human,human
gene-TIMM17B-2,-0.02718720839642786,0.028455990189057923,TIMM17B,NA,human,human
gene-LOC105374150,0.0782041162330636,0.031432159790017775,LOC105374150,NA,human,human
gene-CCL3L3-2,0.0018484348219418357,-0.054404093164720176,CCL3L3,NA,human,human
gene-NELFE-4,0.014804488308766456,-0.02146205225363414,NELFE,NA,human,human
gene-ASMTL,-0.037025561741552804,0.042311953110655436,ASMTL,NA,human,human
gene-U2AF1,-0.034234035981491696,-0.018011943309600664,U2AF1,NA,human,human
gene-RNA28SN5,0.03574533002214614,-0.007187385010444051,RNA28SN5,NA,human,human_rRNA
gene-GNL1,-0.02592924041266785,0.025002184672758533,GNL1,NA,human,human
gene-H4C3,0.06952413284121114,0.0597986540086804,H4C3,NA,human,human
gene-H2AC25-2,0.0018508847698907357,-0.06003657853538799,H2AC25,NA,human,human
gene-ACTR1B,-0.02502788346315628,0.03917837367107799,ACTR1B,NA,human,human
gene-NRM,-0.0173407055185581,0.05158489449938023,NRM,NA,human,human
gene-SULT1A4,-0.0425173497570806,0.03141548563589533,SULT1A4,NA,human,human
gene-MDC1-8,-0.007993488701447275,-0.015912362842105995,MDC1,NA,human,human
gene-MICB,-0.02054673273595331,0.0228487078505756,MICB,NA,human,human
gene-UBE2A-2,-0.04473880602985117,0.04231463300016086,UBE2A,NA,human,human
gene-PSMC4,-0.006845320023914222,0.08789705651078683,PSMC4,NA,human,human
gene-RPS9-9,-0.022693307590946222,-0.037945589431867675,RPS9,NA,human,human
gene-AGPAT1-3,-0.02812816904958985,0.05041481296535722,AGPAT1,NA,human,human
gene-ATP6V1G2-DDX39B-2,-0.058531298343185496,0.024511572287776597,ATP6V1G2-DDX39B,NA,human,human
gene-SGPP1-2,0.02321157268291864,0.041160450773143474,SGPP1,NA,human,human
gene-GABBR1-6,-0.019308746019923186,0.021932738700094965,GABBR1,NA,human,human
gene-RPS6KA1,-0.04650426738769331,0.07146823794071819,RPS6KA1,NA,human,human
gene-H4C2,0.06154497692156857,0.06924755442787507,H4C2,NA,human,human
gene-SCARNA13,0.060669269065474,0.07319364217162776,SCARNA13,NA,human,human
gene-FLII,-0.027336017819981004,0.06108688670903134,FLII,NA,human,human
gene-HLA-DOA-3,-0.029290086198811807,-0.016785326140315,HLA-DOA,NA,human,human
gene-C1GALT1C1-2,0.01810647153571198,0.061725302259659956,C1GALT1C1,NA,human,human
gene-C6orf47-5,0.035142673731746336,0.01464598737558733,C6orf47,NA,human,human
gene-RCC2,-0.017956932213018265,0.01709445962765053,RCC2,NA,human,human
gene-NUDT4B,-0.05688122468219959,0.05981668816954263,NUDT4B,NA,human,human
gene-PSMB8-AS1,-0.025137835922229828,-0.03833827197846899,PSMB8-AS1,NA,human,human
gene-SNORD3A,0.041795372195920354,0.08419396766915539,SNORD3A,NA,human,human
gene-DDAH2-7,-0.02171987366114693,0.017783780146086718,DDAH2,NA,human,human
gene-ARHGAP19-SLIT1,0.07169047368409115,0.045697528671923275,ARHGAP19-SLIT1,NA,human,human
gene-PSMB8-AS1-2,-0.03838876294608872,-0.017361540916665218,PSMB8-AS1,NA,human,human
gene-PPP1R18,-0.03926776513776967,0.04311934991474358,PPP1R18,NA,human,human
gene-DENND11-2,-0.015350548973278267,0.0399976110015907,DENND11,NA,human,human
gene-LSM2,0.00999760288662774,0.008773210675334453,LSM2,NA,human,human
gene-SRC-2,6.978874408098836e-4,0.07761052474799779,SRC,NA,human,human
gene-MCRIP1,-0.040931305152518555,0.009117106226882617,MCRIP1,NA,human,human
gene-RIPK3-2,0.0038669201729358733,0.04953666353598652,RIPK3,NA,human,human
gene-STK19,-0.042474440357906325,0.016747505741478833,STK19,NA,human,human
gene-GPSM3-5,-0.03540360440860863,0.048136367389779555,GPSM3,NA,human,human
gene-PRKAR2B-2,-0.00787247822797665,0.08561456585237602,PRKAR2B,NA,human,human
gene-FLOT1,-0.049509538798759065,0.023964251989585787,FLOT1,NA,human,human
gene-PSMB8-AS1-3,-0.025791348908704725,-0.008233049102297881,PSMB8-AS1,NA,human,human
gene-TCF20-8,0.020368357005522295,0.01626893530688498,TCF20,NA,human,human
gene-EIF4A3,-0.0030715133773043784,0.06031420205613809,EIF4A3,NA,human,human
gene-NEDD8-2,-0.037805646305274186,0.034763658767097964,NEDD8,NA,human,human
gene-NDUFS1-2,0.02790196248897118,0.027179756899432358,NDUFS1,NA,human,human
gene-PIP4K2B,-0.023117590890712997,0.026829539863420446,PIP4K2B,NA,human,human
gene-LOC124905230,-0.07322670042385723,0.024141842960388685,LOC124905230,NA,human,human
gene-H2AC21,0.06273732867888358,0.07004355667570356,H2AC21,NA,human,human
gene-WASH3P-2,-0.01792024586618772,-0.008403635633178237,WASH3P,NA,human,human
gene-RXRB-3,-0.02224061760547795,0.008729889538611212,RXRB,NA,human,human
gene-LY6G5B-4,-0.0038927206132828448,-0.0036276566889630333,LY6G5B,NA,human,human
gene-SDHAP2-6,-0.02877620761363586,0.015151341275387626,SDHAP2,NA,human,human
gene-DEFA3-2,-0.03960281408710692,0.0025855585419988503,DEFA3,NA,human,human
gene-NECAP2,-0.016259641856205438,0.05710124771079376,NECAP2,NA,human,human
gene-BDP1,-0.01719533650599381,-0.005007669869320043,BDP1,NA,human,human
gene-SDHAP2-5,-0.004645901774656707,0.054395864642687,SDHAP2,NA,human,human
gene-PSMB8-AS1-7,0.007833811315942891,0.012946761122469645,PSMB8-AS1,NA,human,human
gene-SLC39A7-3,-0.021142032434828283,0.0763238690210007,SLC39A7,NA,human,human
gene-ZBTB22,-0.01994506269761677,0.011271868639831845,ZBTB22,NA,human,human
gene-SLC39A7-2,0.017378557725389415,0.004196162241381787,SLC39A7,NA,human,human
gene-SDHAP2-8,-0.04446369921199123,0.015746519637876447,SDHAP2,NA,human,human
gene-C4A,0.00663516813843709,0.08216656302240724,C4A,NA,human,human
gene-SMCR8,-0.002598994551884062,0.05403707547693946,SMCR8,NA,human,human
gene-HCG18,-0.0339371592088383,0.07885452821256718,HCG18,NA,human,human
gene-STING1,-0.008413004593743964,0.05717958275091328,STING1,NA,human,human
gene-MPIG6B-5,-0.009889646317921642,0.007928320475290329,MPIG6B,NA,human,human
gene-DDX39B-7,-0.010616336465568935,0.04188444072057081,DDX39B,NA,human,human
gene-GARRE1-4,-0.044551803409201736,0.029274468954380278,GARRE1,NA,human,human
